Height, Angle, State, IsTriggered, Intervention
1.61162,8.840429,0,0,Base
1.611504,8.954152,0,0,Base
1.611293,9.046737,0,0,Base
1.611322,9.045321,0,0,Base
1.611396,9.028526,0,0,Base
1.611385,8.943281,0,0,Base
1.611185,9.006254,0,0,Base
1.611049,8.967708,0,0,Base
1.610883,9.001418,0,0,Base
1.610545,9.175644,0,0,Base
1.610739,9.113223,0,0,Base
1.610798,9.141772,0,0,Base
1.611005,9.117415,0,0,Base
1.611155,9.16299,0,0,Base
1.61104,9.185308,0,0,Base
1.610556,9.32711,0,0,Base
1.610543,9.413574,0,0,Base
1.610714,9.26869,0,0,Base
1.610424,9.400587,0,0,Base
1.611001,9.104865,0,0,Base
1.611052,9.114827,0,0,Base
1.610912,9.130616,0,0,Base
1.610947,9.055532,0,0,Base
1.610946,9.130192,0,0,Base
1.61109,9.059327,0,0,Base
1.611377,8.919159,0,0,Base
1.611251,8.990534,0,0,Base
1.611591,8.827365,0,0,Base
1.611811,8.726299,0,0,Base
1.611796,8.722756,0,0,Base
1.611977,8.668353,0,0,Base
1.611923,8.637946,0,0,Base
1.612143,8.556433,0,0,Base
1.612465,8.446248,0,0,Base
1.612338,8.566102,0,0,Base
1.612458,8.444654,0,0,Base
1.612683,8.360051,0,0,Base
1.612967,8.223638,0,0,Base
1.613078,8.089104,0,0,Base
1.613229,7.942737,0,0,Base
1.613227,8.016973,0,0,Base
1.612989,8.074897,0,0,Base
1.612669,8.22016,0,0,Base
1.612619,8.251047,0,0,Base
1.612525,8.287638,0,0,Base
1.612319,8.366448,0,0,Base
1.612196,8.496428,0,0,Base
1.612394,8.394492,0,0,Base
1.611813,8.619125,0,0,Base
1.611977,8.565579,0,0,Base
1.611722,8.701729,0,0,Base
1.611868,8.646746,0,0,Base
1.611647,8.910435,0,0,Base
1.611473,8.920282,0,0,Base
1.611258,9.08601,0,0,Base
1.611201,9.166308,0,0,Base
1.611238,9.081096,0,0,Base
1.611374,9.032444,0,0,Base
1.611398,9.048575,0,0,Base
1.611145,9.160145,0,0,Base
1.611173,9.123079,0,0,Base
1.611123,9.144317,0,0,Base
1.610897,9.296688,0,0,Base
1.610921,9.416586,0,0,Base
1.610693,9.552836,0,0,Base
1.610559,9.605486,0,0,Base
1.609165,10.41289,0,0,Base
1.602119,14.28521,0,0,Base
1.600615,15.12576,1,0,Base
1.601956,14.28316,0,0,Base
1.602522,14.00668,0,0,Base
1.602992,13.78833,0,0,Base
