x,y,z,pitch,yaw,roll,state,trigger,type
-0.1784871,1.50948,-0.2249198,-2.105194,-95.12927,-0.009735107,0,0,Grayscale
-0.1761603,1.509323,-0.2273993,-2.154694,-95.72791,0.05669256,0,0,Grayscale
-0.1741034,1.509414,-0.228203,-2.126373,-96.2915,0.4449761,0,0,Grayscale
-0.1726272,1.50971,-0.2277737,-2.351837,-96.41101,0.5878657,0,0,Grayscale
-0.1706505,1.509912,-0.2255768,-2.139832,-96.01651,0.09998199,0,0,Grayscale
-0.1684456,1.50991,-0.2240513,-2.089447,-95.44366,-0.2507324,0,0,Grayscale
-0.1654134,1.510696,-0.2233214,-2.495331,-95.22189,-0.3811646,0,0,Grayscale
-0.1618926,1.510883,-0.2233356,-2.598083,-95.25549,-0.5039368,1,1,Grayscale
-0.1581801,1.511065,-0.2239363,-2.768127,-95.38245,-0.5458374,1,1,Grayscale
-0.1543408,1.511152,-0.2248271,-2.857422,-95.38562,-0.4932251,1,1,Grayscale
-0.1507606,1.510959,-0.2257395,-2.867218,-95.29999,-0.5163574,1,1,Grayscale
-0.147476,1.510821,-0.2268195,-2.733276,-95.32993,-0.6000366,1,1,Grayscale
-0.1431839,1.510747,-0.2280173,-2.83783,-95.53033,-0.5068359,1,1,Grayscale
-0.1397651,1.510639,-0.2286558,-2.984161,-95.86926,-0.4758911,1,1,Grayscale
-0.1372754,1.510528,-0.2287017,-3.045013,-96.10312,-0.5587769,1,1,Grayscale
-0.1352634,1.510523,-0.2285973,-3.013794,-96.10428,-0.7130432,1,1,Grayscale
-0.1342164,1.510364,-0.2285123,-2.826904,-96.02209,-0.7947998,1,1,Grayscale
-0.1336967,1.510153,-0.229206,-2.495453,-96.0726,-0.9655457,1,1,Grayscale
-0.1330511,1.510378,-0.2302709,-2.414337,-95.97485,-1.048645,1,1,Grayscale
-0.1322202,1.510139,-0.231627,-2.146484,-95.99368,-0.948761,1,1,Grayscale
-0.1305519,1.509791,-0.2335736,-1.962189,-96.16962,-0.8718262,1,1,Grayscale
-0.128655,1.509695,-0.2354471,-2.07016,-96.3728,-0.7150879,1,1,Grayscale
-0.1268068,1.510272,-0.2374119,-2.371582,-96.61105,-0.5986023,1,1,Grayscale
-0.1257441,1.510816,-0.2391127,-2.680603,-96.66217,-0.4352417,1,1,Grayscale
-0.1255144,1.511098,-0.2407455,-2.708984,-96.87973,-0.1157227,1,1,Grayscale
-0.126328,1.510393,-0.2419378,-2.190643,-97.08759,-0.05587769,1,1,Grayscale
-0.1270019,1.509409,-0.2425773,-1.724487,-97.17413,0.1181234,1,1,Grayscale
-0.1270427,1.509784,-0.2427462,-1.91864,-97.4454,0.2525332,1,1,Grayscale
-0.1272179,1.509966,-0.2429113,-1.951843,-98.06439,0.2751461,1,1,Grayscale
-0.1277703,1.509799,-0.2433689,-1.935944,-99.09668,0.2860084,1,1,Grayscale
-0.1282656,1.509458,-0.2435803,-1.688873,-99.87772,0.3307446,1,1,Grayscale
-0.1290078,1.50954,-0.2430414,-1.676788,-100.0958,0.376984,1,1,Grayscale
-0.1294312,1.51063,-0.2443935,-2.34613,-102.9033,1.008377,1,1,Grayscale
-0.1270885,1.511323,-0.2551238,-3.032806,-112.227,1.29006,1,1,Grayscale
-0.121921,1.511948,-0.2684845,-4.085083,-125.7678,1.320341,1,1,Grayscale
-0.1125443,1.5103,-0.2806496,-3.704315,-141.6673,1.358691,1,1,Grayscale
-0.1024157,1.506815,-0.286523,-2.329529,-155.3756,1.275125,1,1,Grayscale
-0.09755822,1.504724,-0.2867913,-1.897827,-164.7502,1.210656,1,1,Grayscale
-0.09314961,1.50409,-0.2852709,-2.015625,-174.4691,1.814749,1,1,Grayscale
-0.09081195,1.50246,-0.2846733,-1.800262,177.1949,0.7619041,1,1,Grayscale
-0.08848088,1.501287,-0.2884906,-1.873322,171.5411,0.04402296,1,1,Grayscale
-0.08417087,1.501718,-0.2953872,-2.471405,166.643,-0.03771973,1,1,Grayscale
-0.08072878,1.500621,-0.3044419,-3.653259,163.3632,-0.01394653,1,1,Grayscale
-0.07924091,1.500811,-0.3119677,-4.339081,161.5172,-0.6572266,1,1,Grayscale
-0.07998508,1.502166,-0.312662,-3.617798,159.0539,-0.2271423,1,1,Grayscale
-0.08336969,1.50395,-0.308808,-3.326508,157.3683,0.01936772,1,1,Grayscale
-0.08753774,1.506145,-0.301527,-3.144806,154.9659,2.175203,1,1,Grayscale
-0.09295259,1.505633,-0.2949467,-2.892242,153.4222,1.92325,1,1,Grayscale
-0.09806592,1.504266,-0.2883298,-2.059662,153.9902,1.284202,1,1,Grayscale
-0.102141,1.5037,-0.2816162,-2.490173,154.6754,1.088203,1,1,Grayscale
-0.105568,1.50477,-0.2766571,-3.208588,156.1035,0.7751447,1,1,Grayscale
-0.1081274,1.505621,-0.2738357,-3.585938,157.4493,0.63166,1,1,Grayscale
-0.1096378,1.505418,-0.2727686,-3.427307,158.1819,-0.07394409,1,1,Grayscale
-0.1097586,1.504216,-0.2724852,-2.780151,157.9448,-0.2934875,1,1,Grayscale
-0.1085575,1.502642,-0.2731265,-2.082886,157.39,-0.2786865,1,1,Grayscale
-0.1074084,1.500968,-0.2739804,-1.233124,157.1417,-0.4631042,1,1,Grayscale
-0.1066344,1.498931,-0.2753725,-0.1698608,157.2168,-0.4625854,1,1,Grayscale
-0.1056992,1.497165,-0.2767104,0.6774418,157.3452,-0.164856,1,1,Grayscale
-0.1050605,1.494405,-0.2776032,2.172179,157.726,0.1243646,1,1,Grayscale
-0.1049175,1.492657,-0.2779107,3.117981,158.1769,0.2770745,1,1,Grayscale
-0.1056955,1.491663,-0.2777981,3.544602,158.5671,0.2898206,1,1,Grayscale
-0.1072203,1.491486,-0.2775845,3.634497,158.7068,0.3073584,1,1,Grayscale
-0.1094163,1.491742,-0.2771483,3.538688,158.7958,0.266433,1,1,Grayscale
-0.1112018,1.492213,-0.2770655,3.384856,159.0275,0.1756066,1,1,Grayscale
-0.1133653,1.492512,-0.2771439,3.414359,159.4001,0.1592369,1,1,Grayscale
-0.1143322,1.492635,-0.277392,3.488736,159.5554,0.1213086,1,1,Grayscale
-0.1146612,1.492273,-0.2774386,3.70637,159.6353,0.1227541,1,1,Grayscale
-0.1147539,1.491064,-0.2771832,4.382093,159.7263,0.09441441,1,1,Grayscale
