Height, Angle, State, IsTriggered, Intervention
1.511807,26.81864,1,1,Icon
1.511583,26.69469,1,1,Icon
1.512273,26.40758,1,1,Icon
1.513051,26.10511,1,1,Icon
1.512881,26.47896,1,1,Icon
1.516603,24.87198,1,1,Icon
1.521439,22.92326,1,1,Icon
1.526575,20.43636,1,1,Icon
1.532503,17.51237,1,1,Icon
1.535799,15.45752,1,1,Icon
1.5379,14.19468,0,0,Icon
1.538107,13.99702,0,0,Icon
1.538188,13.6701,0,0,Icon
1.539095,13.24843,0,0,Icon
1.538944,13.00689,0,0,Icon
1.543447,10.96569,0,0,Icon
1.547081,9.202065,0,0,Icon
1.555021,5.426178,0,0,Icon
1.565169,0.2352793,0,0,Icon
1.571551,-3.232971,0,0,Icon
1.573435,-4.378967,0,0,Icon
1.574993,-5.408875,0,0,Icon
1.572379,-4.471252,0,0,Icon
1.56677,-2.119476,0,0,Icon
1.559824,1.12437,0,0,Icon
1.553832,4.045417,0,0,Icon
1.545434,8.429564,0,0,Icon
1.538581,11.87602,0,0,Icon
1.530931,14.30808,0,0,Icon
1.52427,17.28195,0,0,Icon
1.518572,20.37387,0,0,Icon
1.526342,17.53686,0,0,Icon
1.526495,17.75912,0,0,Icon
1.526961,17.42043,0,0,Icon
1.526887,17.30799,0,0,Icon
1.521136,20.30471,0,0,Icon
1.513532,24.50791,0,0,Icon
1.513336,24.00657,0,0,Icon
1.514921,23.38788,0,0,Icon
1.514978,23.34996,0,0,Icon
1.515638,23.12566,0,0,Icon
1.514025,23.58993,0,0,Icon
1.512898,24.26696,0,0,Icon
1.516946,21.98893,0,0,Icon
1.518577,20.60803,0,0,Icon
1.514764,20.35863,0,0,Icon
1.503733,23.19771,0,0,Icon
1.493187,27.72506,0,0,Icon
1.495728,26.9618,0,0,Icon
1.499286,25.59691,0,0,Icon
1.502527,24.77327,0,0,Icon
1.50632,23.4128,0,0,Icon
1.511795,21.42568,0,0,Icon
1.51486,19.0421,0,0,Icon
1.517333,16.73251,0,0,Icon
1.521999,12.82317,0,0,Icon
1.509365,18.50633,0,0,Icon
1.501735,20.20761,0,0,Icon
1.497594,21.65919,0,0,Icon
1.499297,21.6731,0,0,Icon
1.503258,21.98687,0,0,Icon
1.505084,21.20749,0,0,Icon
1.504077,22.49265,0,0,Icon
1.498761,24.94467,0,0,Icon
1.493329,27.90539,0,0,Icon
1.492633,27.7666,0,0,Icon
1.492877,28.56645,0,0,Icon
1.49727,29.52528,0,0,Icon
1.509795,26.92204,0,0,Icon
1.526017,21.68532,0,0,Icon
1.531878,19.41681,0,0,Icon
1.532726,19.26664,0,0,Icon
1.534784,18.54843,0,0,Icon
1.534607,18.32434,0,0,Icon
1.535795,18.15222,0,0,Icon
1.537405,17.42896,0,0,Icon
1.536319,18.11909,0,0,Icon
1.53606,18.50172,0,0,Icon
1.536388,18.24531,0,0,Icon
1.536173,18.25585,0,0,Icon
1.535838,18.36829,0,0,Icon
1.536028,18.1201,0,0,Icon
1.535672,18.18542,0,0,Icon
1.53543,18.20957,1,1,Icon
1.535318,18.24813,1,1,Icon
1.534672,18.53326,1,1,Icon
1.534341,18.66338,1,1,Icon
1.534071,18.79144,1,1,Icon
1.533772,18.87669,1,1,Icon
1.533619,18.94352,1,1,Icon
1.53349,18.90726,1,1,Icon
1.53341,18.86407,1,1,Icon
1.533424,18.78525,1,1,Icon
1.533772,18.62125,1,1,Icon
1.533607,18.6445,1,1,Icon
1.533702,18.63948,1,1,Icon
1.533986,18.48601,1,1,Icon
1.53425,18.43886,1,1,Icon
1.534203,18.47278,1,1,Icon
1.534421,18.28582,1,1,Icon
1.534162,18.34256,1,1,Icon
1.534335,18.30441,1,1,Icon
1.534478,18.3353,1,1,Icon
1.534508,18.33752,1,1,Icon
1.534542,18.26945,1,1,Icon
1.534402,18.26268,1,1,Icon
1.534106,18.29023,1,1,Icon
1.534374,18.16706,1,1,Icon
1.534453,18.07047,1,1,Icon
1.534244,18.16899,1,1,Icon
1.53455,18.05735,1,1,Icon
1.534327,18.0988,1,1,Icon
1.534175,18.04499,1,1,Icon
1.53408,18.02652,1,1,Icon
1.53419,17.99738,1,1,Icon
1.534073,18.03162,1,1,Icon
1.533971,18.08744,1,1,Icon
1.534184,17.98133,1,1,Icon
1.534299,17.92706,1,1,Icon
1.534573,17.89673,1,1,Icon
1.534521,17.9134,1,1,Icon
1.534513,17.86762,1,1,Icon
1.534518,17.8057,1,1,Icon
1.534034,18.03267,1,1,Icon
1.53441,17.89441,1,1,Icon
1.534278,17.96501,1,1,Icon
1.534727,17.7259,1,1,Icon
1.535955,17.04989,1,1,Icon
1.537325,16.3453,1,1,Icon
1.539256,15.17182,1,1,Icon
1.54123,14.26033,0,0,Icon
1.540723,14.61753,0,0,Icon
1.540712,14.63427,0,0,Icon
1.538468,15.81192,0,0,Icon
1.536401,16.51222,0,0,Icon
1.533698,17.47279,0,0,Icon
1.530866,18.448,0,0,Icon
1.526344,19.96029,0,0,Icon
1.52378,21.22203,0,0,Icon
1.521517,22.15551,0,0,Icon
1.519258,22.91262,0,0,Icon
1.518289,23.35456,0,0,Icon
1.518649,23.20429,0,0,Icon
1.518735,23.17678,0,0,Icon
1.517486,23.6111,0,0,Icon
1.51678,23.93404,0,0,Icon
1.51695,23.87919,0,0,Icon
1.517085,23.71535,0,0,Icon
1.535545,15.70824,0,0,Icon
1.561695,1.719612,0,0,Icon
1.575676,-5.389618,0,0,Icon
1.580201,-7.054352,0,0,Icon
1.582788,-8.799225,0,0,Icon
1.583871,-9.083496,0,0,Icon
1.58466,-9.3237,0,0,Icon
1.584836,-9.636566,0,0,Icon
1.58398,-9.514252,0,0,Icon
1.582756,-9.096771,0,0,Icon
1.582247,-9.017975,0,0,Icon
1.582203,-9.214478,0,0,Icon
1.581849,-9.144196,0,0,Icon
1.581314,-8.960571,0,0,Icon
1.581394,-8.920135,0,0,Icon
1.58086,-8.650024,0,0,Icon
1.579538,-7.998047,0,0,Icon
1.578336,-7.302765,0,0,Icon
1.577096,-6.560486,0,0,Icon
1.573182,-4.365631,0,0,Icon
1.565427,0.5898302,0,0,Icon
1.560839,3.201939,0,0,Icon
1.558201,4.94103,0,0,Icon
1.555139,6.801065,0,0,Icon
1.553528,8.476793,0,0,Icon
1.552551,9.207887,0,0,Icon
1.550914,9.994375,0,0,Icon
1.547851,10.91413,0,0,Icon
1.540302,12.68105,0,0,Icon
1.534424,14.82826,0,0,Icon
1.534131,15.61688,0,0,Icon
1.533397,15.02513,0,0,Icon
1.535246,14.93012,0,0,Icon
1.535643,14.97,0,0,Icon
1.535841,15.56401,0,0,Icon
1.53514,16.45598,0,0,Icon
1.534718,16.75397,0,0,Icon
1.534049,17.17199,0,0,Icon
1.53355,17.33956,0,0,Icon
1.533627,17.25787,0,0,Icon
1.533983,17.05629,0,0,Icon
1.534447,16.95036,0,0,Icon
1.534478,16.91327,0,0,Icon
1.534853,16.77228,0,0,Icon
1.535959,16.44444,0,0,Icon
