x,y,z,pitch,yaw,roll,state,trigger,type
0.2294146,1.662338,-0.002667833,-2.382477,107.9797,-5.591125,0,0,Base
0.2152185,1.659926,-0.03503346,-0.5428467,133.1121,-4.018036,0,0,Base
0.1831037,1.659972,-0.05580365,-0.7089539,154.5584,-2.177124,0,0,Base
0.1581326,1.662433,-0.06742814,-3.011932,168.0541,-2.43692,0,0,Base
0.1588125,1.661945,-0.07436501,-2.353363,169.1021,-2.605377,0,0,Base
0.1781419,1.664227,-0.08237816,-0.926178,164.089,-2.8237,0,0,Base
0.2006727,1.664866,-0.09019674,-1.922455,164.4513,-2.546875,0,0,Base
0.2130213,1.665252,-0.1060345,-2.668518,177.1301,-2.598724,0,0,Base
0.2132353,1.673215,-0.1179518,-1.693542,-162.9733,-2.73172,0,0,Base
0.1975424,1.679606,-0.1098412,-5.003815,-138.575,-2.38855,0,0,Base
0.1865856,1.675335,-0.08858747,-4.492859,-121.1682,-2.10199,0,0,Base
0.1772979,1.669087,-0.05976485,-3.201263,-109.9403,-2.446198,0,0,Base
0.1691127,1.667694,-0.0379297,-3.991669,-107.3014,-3.358154,0,0,Base
0.1590886,1.671385,-0.02233175,-4.640503,-107.5548,-4.576324,0,0,Base
0.1470081,1.672779,-0.01112559,-4.668945,-106.4503,-4.52301,0,0,Base
0.135576,1.67246,-0.008430732,-4.640198,-105.2708,-4.268066,0,0,Base
0.1287474,1.6756,-0.01638052,-5.38681,-104.7857,-4.376831,0,0,Base
0.1258423,1.673315,-0.03639794,-6.549774,-103.8849,-4.870453,0,0,Base
0.1218209,1.674273,-0.06626238,-6.969421,-101.7059,-5.336639,0,0,Base
0.1173386,1.676158,-0.09133022,-6.018738,-94.97235,-5.677368,0,0,Base
0.1148458,1.677023,-0.09495699,-4.963867,-80.55936,-6.921875,0,0,Base
0.1220591,1.676905,-0.08037218,-3.940613,-58.53503,-8.382874,0,0,Base
0.1481578,1.670632,-0.06364251,-1.998199,-38.63281,-4.703339,0,0,Base
0.1761289,1.669667,-0.05452483,-4.421234,-30.11169,-4.591461,0,0,Base
0.2086182,1.676054,-0.0356854,-5.344177,-22.21817,-6.12973,0,0,Base
0.2329895,1.671708,-0.01737711,-5.724548,-14.69366,-5.083801,0,0,Base
0.2520669,1.667041,-0.008040113,-2.369385,-4.073669,-5.12561,0,0,Base
0.2643239,1.674397,-0.005735363,-3.55304,7.29908,-4.493835,0,0,Base
0.2722488,1.673435,-0.008440657,-3.643921,21.60374,-5.109161,0,0,Base
0.2728268,1.668881,-0.01751109,-2.440918,40.31928,-5.56897,0,0,Base
0.2600149,1.668066,-0.03050423,-1.097839,57.27229,-3.870636,0,0,Base
0.2436499,1.673569,-0.04336541,-1.436401,71.99001,-3.102234,0,0,Base
0.2287587,1.670747,-0.05679154,-2.026276,83.10598,-2.401825,0,0,Base
0.2178581,1.670018,-0.07679556,-1.763519,92.05736,-1.83136,1,0,Base
0.2119523,1.668677,-0.09381106,-3.148499,96.16374,-1.740387,1,0,Base
0.211236,1.672249,-0.1147818,-3.930206,99.85213,-2.91153,1,0,Base
0.2121947,1.67135,-0.129271,-3.785553,102.7519,-2.572479,1,0,Base
0.212883,1.674161,-0.1350699,-4.249817,104.9035,-3.9729,1,0,Base
0.2148153,1.679703,-0.1276999,-5.855255,105.5779,-3.450317,1,0,Base
0.2149356,1.678108,-0.1131225,-5.748322,105.8697,-3.20166,1,0,Base
0.2165884,1.676415,-0.08820523,-5.086365,106.0415,-3.490204,1,0,Base
0.2175309,1.679006,-0.06134056,-4.361908,106.7329,-2.3349,1,0,Base
0.2194684,1.678751,-0.03744432,-4.068054,106.2494,-2.509155,1,0,Base
0.226425,1.676289,-9.5658E-05,-3.082916,92.51695,-1.986542,1,0,Base
0.2255912,1.673906,0.04179963,-2.42218,69.80778,-1.180176,1,0,Base
0.2068174,1.670052,0.07544383,-2.621307,43.21919,-1.11441,1,0,Base
0.1803982,1.663813,0.08262853,-2.249084,17.63716,-2.087921,1,0,Base
0.1755624,1.665467,0.05825497,-1.0495,4.4788,-1.635437,1,0,Base
0.1831674,1.670828,0.02433819,-2.380859,-4.062134,-2.561951,1,0,Base
0.1880493,1.680124,-0.003389729,-5.397247,-12.82471,-3.614746,1,0,Base
0.1878356,1.680245,-0.02366538,-6.083954,-20.7334,-5.956085,1,0,Base
